Run,Bases,BioSample,Experiment,Instrument,Library Name,LibraryLayout,Organism,Platform,Sample_name,SRA Study,sample_type,sex,Sample_code,Date,geo_loc_name,lat,lon,lat_lon,Spawning_time,Era
ERR9709092,474444684,SAMEA14369557,ERX9258423,Illumina HiSeq 2500,HER001E1bL1,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER001a,ERP137457,individual,NA,HER001,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709093,3090278772,SAMEA14369558,ERX9258424,Illumina HiSeq 2500,HER001E1bL2,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER001b,ERP137457,individual,NA,HER001,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709094,176762412,SAMEA14369559,ERX9258425,Illumina HiSeq 4000,HER001E1bL3,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER001c,ERP137457,individual,NA,HER001,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709095,1055143152,SAMEA14369560,ERX9258426,Illumina HiSeq 2500,HER002E1bL1,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER002a,ERP137457,individual,NA,HER002,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709096,3804585372,SAMEA14369561,ERX9258427,Illumina HiSeq 2500,HER002E1bL2,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER002b,ERP137457,individual,NA,HER002,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709097,17435765844,SAMEA14369562,ERX9258428,Illumina HiSeq 2500,HER002E1bL2,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER002c,ERP137457,individual,NA,HER002,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709098,74424276,SAMEA14369563,ERX9258429,Illumina HiSeq 4000,HER002E1bL3,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER002d,ERP137457,individual,NA,HER002,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709099,5886720,SAMEA14369564,ERX9258430,Illumina HiSeq 2500,HER003E1bL1,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER003a,ERP137457,individual,NA,HER003,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709100,938270340,SAMEA14369565,ERX9258431,Illumina HiSeq 2500,HER003E1bL2,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER003b,ERP137457,individual,NA,HER003,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
ERR9709101,1545193440,SAMEA14369566,ERX9258432,Illumina HiSeq 2500,HER003E1bL2,PAIRED,Clupea harengus,ILLUMINA,BAL_22_HER003c,ERP137457,individual,NA,HER003,9th-13th century,Giecz_Poland,NA,NA,NA,NA,historical
